"","filename","Persons"
"1","1948//md000851.xml","Hovde, Brynjolf Jakob, 1896-1954"
"2","1948//md000851.xml","Marshall, George C. (George Catlett), 1880-1959"
"3","1948//md000852.xml","Chamberlain, Neville, 1869-1940"
"4","1948//md000852.xml","Hitler, Adolf, 1889-1945"
"5","1948//md000852.xml","Wallace, Henry Agard, 1888-1965"
"6","1948//md000853.xml","George II, King of the Hellenes, 1890-1947"
"7","1948//md000853.xml","Molotov, Vyacheslav Mikhaylovich, 1890-"
"8","1948//md000853.xml","Paul I, King of the Hellenes, 1901-1964"
"9","1948//md000853.xml","Wallace, Henry Agard, 1888-1965"
"10","1948//md000854.xml","Wallace, Henry Agard, 1888-1965"
"11","1948//md000855.xml","na"
"12","1948//md000856.xml","Canby, Henry Seidel, 1878-1961"
"13","1948//md000856.xml","Thoreau, Henry David, 1817-1862"
"14","1948//md000857.xml","McCormick, Anne O'Hare, 1880-1954"
"15","1948//md000857.xml","Taber, John, 1880-1965"
"16","1948//md000857.xml","Marshall Plan"
"17","1948//md000858.xml","Cooke, Morris Llewellyn, 1872-1960"
"18","1948//md000859.xml","na"
"19","1948//md000860.xml","King, William Lyon Mackenzie, 1874-1950"
"20","1948//md000860.xml","Levy, Adele Rosenwald, 1892-1960"
"21","1948//md000860.xml","Wallace, R. C."
"22","1948//md000861.xml","Byrnes, James F. (James Francis), 1882-1972"
"23","1948//md000861.xml","Gaulle, Charles de, 1890-1970"
"24","1948//md000861.xml","Hitler, Adolf, 1889-1945"
"25","1948//md000861.xml","Jouhaux, Léon, 1879-1954"
"26","1948//md000862.xml","Taft, Robert A. (Robert Alphonso), 1889-1953"
"27","1948//md000862.xml","Truman, Harry S., 1884-1972"
"28","1948//md000863.xml","George, Walter F. (Walter Franklin), 1878-1957."
"29","1948//md000863.xml","Marshall, George C. (George Catlett), 1880-1959"
"30","1948//md000863.xml","Taft, Robert A. (Robert Alphonso), 1889-1953"
"31","1948//md000864.xml","Craig, May, 1889?-1975"
"32","1948//md000864.xml","Grayson, David, 1870-1946"
"33","1948//md000864.xml","Herrick, Genevieve Forbes"
"34","1948//md000864.xml","Herrick, John Origen, b. 1898"
"35","1948//md000864.xml","Hitler, Adolf, 1889-1945"
"36","1948//md000864.xml","Nash, Ruth Cowan, 1901-1993"
"37","1948//md000864.xml","Osborn, Fairfield, 1887-1969"
"38","1948//md000864.xml","Thompson, Malvina, 1893-1953"
"39","1948//md000865.xml","Daniels, Josephus, 1862-1948"
"40","1948//md000865.xml","Lash, Jonathan, 1945-"
"41","1948//md000865.xml","Lash, Trude W."
"42","1948//md000866.xml","Dewey, Thomas E. (Thomas Edmund), 1902-1971"
"43","1948//md000866.xml","Eisenhower, Dwight D. (Dwight David), 1890-1969"
"44","1948//md000866.xml","Hoover, Herbert, 1874-1964"
"45","1948//md000866.xml","MacArthur, Douglas, 1880-1964"
"46","1948//md000866.xml","Taft, Robert A. (Robert Alphonso), 1889-1953"
